Model,Manufacturer,Country,Max Speed (km/h),Range (km),Service Ceiling (m),Introduced
F-16 Fighting Falcon,Lockheed Martin,USA,2414,4220,15240,1978
Su-27 Flanker,Sukhoi,Russia,2500,3530,19000,1985
Eurofighter Typhoon,Eurofighter GmbH,Europe,2495,2900,19800,2003
Dassault Rafale,Dassault Aviation,France,1912,3700,15240,2001
F-22 Raptor,Lockheed Martin,USA,2410,2963,19812,2005
MiG-29 Fulcrum,Mikoyan,Russia,2450,1500,18000,1982
JAS 39 Gripen,Saab,Sweden,2470,3200,15240,1996
F/A-18 Hornet,McDonnell Douglas,USA,1915,2346,15240,1983
Su-35 Flanker-E,Sukhoi,Russia,2500,3600,20000,2014
F-15 Eagle,McDonnell Douglas,USA,2655,4820,19812,1976
JF-17 Thunder,Chengdu/PAC,China/Pakistan,1960,2037,16500,2007
Mirage 2000,Dassault Aviation,France,2336,1550,17000,1984
F-35 Lightning II,Lockheed Martin,USA,1931,2222,15240,2015
Su-57 Felon,Sukhoi,Russia,2600,3500,20000,2020
Tornado IDS,Panavia,Europe,2338,2770,15240,1979
Harrier II,BAE Systems,UK,1185,1670,15150,1985
A-10 Thunderbolt II,Fairchild Republic,USA,833,1280,13716,1977
F-4 Phantom II,McDonnell Douglas,USA,2370,2600,18290,1960
Su-24 Fencer,Sukhoi,Russia,1700,3000,17500,1974
B-2 Spirit,Northrop Grumman,USA,1010,11100,15240,1997
